candidate_id,skills,education,years_of_experience,placed,placement_date,offered_salary_lpa,sector_placed_in,skills_list
22,"SQL,Excel,Communication",BCA,1.5,0,,16.5,,"['sql', 'excel', 'communication']"
23,"Python,Machine Learning,Cloud",B.Tech,4.0,1,2023-11-25,21.0,Technology,"['python', 'machine learning', 'cloud']"
24,"R,Statistics,Data Analysis",M.Sc,3.0,1,2023-12-10,14.0,Healthcare,"['r', 'statistics', 'data analysis']"
25,"Python,TensorFlow",B.Tech,3.0,1,2023-12-20,18.0,Technology,"['python', 'tensorflow']"
26,"SQL,Excel,Statistics",MBA,2.0,0,,16.5,,"['sql', 'excel', 'statistics']"
27,"Python,SQL,Machine Learning",M.Sc,4.0,1,2024-01-10,22.0,Technology,"['python', 'sql', 'machine learning']"
28,"Deep Learning,TensorFlow",M.Sc,3.0,0,,16.5,,"['deep learning', 'tensorflow']"
29,"Python,Docker,Cloud",B.Tech,3.0,1,2024-01-25,19.0,Technology,"['python', 'docker', 'cloud']"
30,"SQL,Power BI",MBA,2.0,1,2024-02-10,10.5,Finance,"['sql', 'power bi']"
31,"Python,Statistics,R",M.Sc,3.0,1,2024-02-25,15.0,Healthcare,"['python', 'statistics', 'r']"
32,"Machine Learning,Statistics",M.Sc,2.0,0,,16.5,,"['machine learning', 'statistics']"
33,"Python,SQL,Deep Learning",M.Sc,5.0,1,2024-03-10,27.0,Technology,"['python', 'sql', 'deep learning']"
34,"Excel,Tableau,Communication",BCA,1.0,0,,16.5,,"['excel', 'tableau', 'communication']"
35,"Python,Machine Learning",B.Tech,2.0,1,2024-03-25,15.5,Technology,"['python', 'machine learning']"
36,"SQL,Excel,Statistics",MBA,1.5,1,2024-04-10,9.0,Finance,"['sql', 'excel', 'statistics']"
37,"Python,Cloud,Docker",B.Tech,4.0,1,2024-04-25,21.0,Technology,"['python', 'cloud', 'docker']"
38,"Deep Learning,TensorFlow,Machine Learning",M.Sc,4.0,1,2024-05-10,25.0,Technology,"['deep learning', 'tensorflow', 'machine learning']"
39,"Python,SQL",B.Tech,2.0,1,2024-05-25,13.5,Technology,"['python', 'sql']"
40,"Excel,Data Analysis,Communication",BCA,1.0,0,,16.5,,"['excel', 'data analysis', 'communication']"
41,"Python,Statistics,R",M.Sc,3.0,1,2024-06-10,16.0,Healthcare,"['python', 'statistics', 'r']"
42,"SQL,Power BI,Tableau",MBA,2.5,1,2024-06-25,11.5,Finance,"['sql', 'power bi', 'tableau']"
43,"Python,Machine Learning,Statistics",M.Sc,4.0,1,2024-07-10,22.0,Technology,"['python', 'machine learning', 'statistics']"
44,"Excel,SQL,Communication",BCA,1.5,0,,16.5,,"['excel', 'sql', 'communication']"
45,"Python,Deep Learning",M.Sc,3.0,1,2024-07-25,21.0,Technology,"['python', 'deep learning']"
46,"SQL,Data Analysis,Tableau",MBA,2.0,1,2024-08-10,11.0,Retail,"['sql', 'data analysis', 'tableau']"
47,"Python,TensorFlow,Machine Learning",B.Tech,4.0,1,2024-08-25,24.0,Technology,"['python', 'tensorflow', 'machine learning']"
48,"Statistics,Communication,Project Management",MBA,3.0,0,,16.5,,"['statistics', 'communication', 'project management']"
49,"Python,SQL,Cloud",B.Tech,3.0,1,2024-09-10,18.0,Technology,"['python', 'sql', 'cloud']"
50,"Excel,Power BI,Tableau",MBA,2.0,1,2024-09-25,12.5,Finance,"['excel', 'power bi', 'tableau']"
51,"Python,Machine Learning,Deep Learning",M.Sc,5.0,1,2024-10-10,28.0,Technology,"['python', 'machine learning', 'deep learning']"
52,"SQL,Statistics",MBA,2.0,0,,16.5,,"['sql', 'statistics']"
53,"Python,SQL,Docker",B.Tech,3.0,1,2024-10-25,17.0,Technology,"['python', 'sql', 'docker']"
54,"Excel,Data Analysis",BCA,0.5,0,,16.5,,"['excel', 'data analysis']"
55,"Python,Statistics",M.Sc,2.0,1,2024-11-10,13.0,Technology,"['python', 'statistics']"
56,"SQL,Tableau,Power BI",MBA,2.0,1,2024-11-25,11.5,Retail,"['sql', 'tableau', 'power bi']"
57,"Python,TensorFlow,Deep Learning",M.Sc,5.0,1,2024-12-10,26.0,Technology,"['python', 'tensorflow', 'deep learning']"
58,"Machine Learning,Statistics,R",M.Sc,3.0,1,2024-12-25,16.0,Healthcare,"['machine learning', 'statistics', 'r']"
59,"Python,Cloud,Machine Learning",B.Tech,4.0,1,2025-01-10,22.0,Technology,"['python', 'cloud', 'machine learning']"
60,"Excel,Communication",BCA,1.0,0,,16.5,,"['excel', 'communication']"
